"id","title","authors","year","venue","publication_status","arxiv","doi","primary_url","domain","explicit_world_model","modeled_system","observation","state","state_type","action","transition","prediction_target","rollout_horizon","evaluation","dataset","downstream_purpose","strongest_contribution","limitation","relevance_to_MedicalWorldModel","rollout_mechanism","time_scale","uncertainty","planning","official_project_repository","read_depth","source_locator","version_note","verified_date","evidence_scope","metadata_verification"
"G01","Recurrent World Models Facilitate Policy Evolution","David Ha; Jürgen Schmidhuber","2018","NeurIPS 31","Published","1809.01999","UNKNOWN","https://proceedings.neurips.cc/paper/2018/hash/2de5d16682c3c35007e4e92982f1a2ba-Abstract.html","game/control","yes","game/control","pixels và action history","VAE code + recurrent memory","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","game controls","MDN-RNN next latent","latent; termination","episode trong dream; số bước tùy task","return khi policy chuyển sang môi trường gốc","CarRacing; VizDoom","học policy trong mô hình","kiểm tra chuyển policy từ imagined environment","policy có thể khai thác sai số mô hình","state phải kiểm chứng qua tác vụ","latent recurrent rollout, dream episodes","bước môi trường; đổi sang giây UNKNOWN","mixture density; không phải calibrated safety","policy evolution trong dream, không đồng nhất online tree search","https://worldmodels.github.io","metadata + abstract","Trang nguồn/abstract","World Models (1803.10122) là bản sớm; NeurIPS dùng tên và ID 1809.01999","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G02","Learning Latent Dynamics for Planning from Pixels","Danijar Hafner; Timothy Lillicrap; Ian Fischer; Ruben Villegas; David Ha; Honglak Lee; James Davidson","2019","ICML; PMLR 97","Published","1811.04551","UNKNOWN","https://proceedings.mlr.press/v97/hafner19a.html","visual continuous control","yes","visual continuous control","pixels, past actions","deterministic + stochastic recurrent belief","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","continuous controls","latent state transition + observation/reward heads","future latent; reward","MPC hữu hạn; task-dependent","control return; representation/overshooting ablations","DeepMind Control Suite","planning từ pixels","học dynamics trong không gian nhỏ","quan sát thiếu và rollout error vẫn tồn tại","belief/history có thể có ích, cần kiểm tra","latent action rollouts; MPC reobserves","bước môi trường; đổi sang giây UNKNOWN","stochastic latent","CEM MPC; thực thi action đầu rồi quan sát lại","UNKNOWN","full-text methods/evaluation và supplement","§2–4; supplement latent overshooting","Không coi overshooting bắt buộc: supplement ghi không cần trong cấu hình cuối","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G03","Mastering diverse control tasks through world models","Danijar Hafner; Jurgis Pasukonis; Jimmy Ba; Timothy Lillicrap","2025","Nature 640:647–653","Published","2301.04104","10.1038/s41586-025-08744-2","https://www.nature.com/articles/s41586-025-08744-2","general control / DreamerV3","yes","general control / DreamerV3","observations, actions, rewards","recurrent stochastic latent","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","task controls","learned latent dynamics; reward; continuation","imagined returns and states","multi-step imagination; numeric horizon UNKNOWN trong extraction","return nhiều task/domain","Atari; DMLab; Minecraft; control suites","học actor–critic bằng imagined futures","reuse thuật toán across domains","return cao không chứng minh physical identification","mô hình và policy là hai thành phần","latent imagined sequences for actor/value learning","bước môi trường; đổi sang giây UNKNOWN","stochastic latent; không báo clinical calibration","imagination để train policy; không mặc định MPC lúc chạy","UNKNOWN","full-text methods/evaluation","Methods: world model; actor–critic; benchmarks","arXiv tên Mastering Diverse Domains through World Models; published title canonical","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"G04","Mastering Atari, Go, chess and shogi by planning with a learned model","Julian Schrittwieser; Ioannis Antonoglou; Thomas Hubert; Karen Simonyan; Laurent Sifre; Simon Schmitt; Arthur Guez; Edward Lockhart; Demis Hassabis; Thore Graepel; Timothy Lillicrap; David Silver","2020","Nature 588:604–609","Published","1911.08265","10.1038/s41586-020-03051-4","https://www.nature.com/articles/s41586-020-03051-4","games / MuZero","no","games / MuZero","game observations and history","task-relevant hidden state","latent phục vụ value/reward; không explicit world geometry","legal/game actions","iterable recurrent model","reward; value; policy","search tree; depth varies","game return / playing strength","Atari; Go; chess; shogi","search without supplied simulator","không cần tái tạo pixels để planning","task sufficiency không bảo đảm state dùng cho mọi truy vấn","định nghĩa medical WM không bắt buộc pixels","recurrent latent tree expansion","bước môi trường; đổi sang giây UNKNOWN","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","MCTS","UNKNOWN","metadata + abstract","Trang nguồn/abstract","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"G05","Unsupervised Learning for Physical Interaction through Video Prediction","Chelsea Finn; Ian Goodfellow; Sergey Levine","2016","NeurIPS 29","Published","UNKNOWN","UNKNOWN","https://papers.nips.cc/paper/6161-unsupervised-learning-for-physical-interaction-through-video-prediction","robot pushing video","no","robot pushing video","images và robot motion","hidden visual features; pixel motion transformations","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","robot actions","predict transformations/masks của pixels","future images","multi-frame; numeric horizon UNKNOWN","image prediction","robot pushing","learn visual physical interaction","action-conditioned video ancestor","paper prediction không tự chứng minh planner","tách acquisition transition với appearance generation","recurrent transformed-pixel prediction","bước môi trường; đổi sang giây UNKNOWN","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","Không được xác minh trong phần đã đọc","UNKNOWN","metadata + abstract","Trang nguồn/abstract","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G06","Stochastic Video Generation with a Learned Prior","Emily Denton; Rob Fergus","2018","ICML; PMLR 80:1174–1183","Published","1802.07687","UNKNOWN","https://proceedings.mlr.press/v80/denton18a.html","stochastic video prediction","no","stochastic video prediction","past frames","recurrent deterministic features + stochastic code","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","none","learned time-varying latent prior; recurrent decoder","future frame distribution","multi-frame; numeric horizon UNKNOWN","image/video prediction","UNKNOWN trong phần abstract đã đọc","plausible diverse future video","explicit stochastic futures","diversity và sharpness không bảo đảm task-valid simulator","bất định tương lai có trước WM frontier","sampled stochastic recurrent future frames","bước môi trường; đổi sang giây UNKNOWN","learned stochastic prior; calibration UNKNOWN","Không được xác minh trong phần đã đọc","UNKNOWN","metadata + abstract","Trang nguồn/abstract","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G07","Transformers are Sample-Efficient World Models","Vincent Micheli; Eloi Alonso; François Fleuret","2023","ICLR","Published","2209.00588","UNKNOWN","https://openreview.net/pdf?id=vhFu1Acb0xb","Atari / IRIS","yes","Atari / IRIS","tokenized frames; actions","token history","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","discrete game actions","autoregressive token dynamics + reward/end","pixels/tokens; reward; termination","multi-step imagined episodes; numeric UNKNOWN","Atari 100k returns","Atari 100k","sample-efficient policy learning","token world model evaluated by return","tokenization can lose small task-critical objects","compression must preserve endpoint evidence","autoregressive observation/action tokens","bước môi trường; đổi sang giây UNKNOWN","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","actor–critic learning in imagined environment","UNKNOWN","PDF methods/evaluation","§2–4","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G08","Diffusion for World Modeling: Visual Details Matter in Atari","Eloi Alonso; Adam Jelley; Vincent Micheli; Anssi Kanervisto; Amos Storkey; Tim Pearce; François Fleuret","2024","NeurIPS 37","Published","2405.12399","10.52202/079017-1873","https://proceedings.neurips.cc/paper_files/paper/2024/hash/6bdde0373d53d4a501249547084bed43-Abstract-Conference.html","Atari / DIAMOND","yes","Atari / DIAMOND","frames; actions","recent pixel history / denoising features","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","game actions","conditional next-image diffusion","image; reward/end via auxiliary models","autoregressive multi-step; numeric UNKNOWN","Atari100k return, not only perceptual quality","Atari 100k","policy training","fine visual details linked to reward behavior","stochastic generation does not equal calibrated epistemic uncertainty","tiny anatomy changes may matter; verify endpoint","autoregressive frame sampling with action history","bước môi trường; đổi sang giây UNKNOWN","diffusion sampling; clinical calibration not evaluated","policy learned in model","https://diamond-wm.github.io","PDF methods/evaluation","World model and Atari evaluation","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"G09","TD-MPC2: Scalable, Robust World Models for Continuous Control","Nicklas Hansen; Hao Su; Xiaolong Wang","2024","ICLR","Published","2310.16828","UNKNOWN","https://openreview.net/pdf?id=Oxh5CstDJU","continuous control","yes","continuous control","state observations or images; action","task-oriented latent","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","continuous action","latent consistency, reward and value models","latent; reward; value","short imagined plans plus value bootstrap","control success/return across tasks","104-task benchmark reported","online MPC","task-oriented predictive representation","privileged state settings do not establish visual inference","evaluate prediction through meaningful costs","short imagined latent trajectories in MPC","bước môi trường; đổi sang giây UNKNOWN","value ensemble; no generic calibrated transition guarantee","online model predictive control","UNKNOWN","PDF methods/evaluation","§3–4","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G10","SlotFormer: Unsupervised Visual Dynamics Simulation with Object-Centric Models","Ziyi Wu; Nikita Dvornik; Klaus Greff; Thomas Kipf; Animesh Garg","2023","ICLR","Published","UNKNOWN","UNKNOWN","https://openreview.net/pdf?id=TFbwV6I0VLg","object interactions","yes","object interactions","video prefix","temporally aligned object slots","latent object slots, inferred","none for passive prediction; candidate actions in planning task","autoregressive slot dynamics","future slots and decoded objects","multi-step; exact horizon task-dependent","video; future VQA; goal-conditioned planning","CLEVRER; PHYRE (paper task suite)","reasoning and planning","object-level rollout reusable downstream","slots may swap/collapse; not guaranteed anatomical entities","anatomy-centric forecast has prior CV basis","autoregressive future slots","bước môi trường; đổi sang giây UNKNOWN","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","goal-conditioned planning tested","https://github.com/pairlab/SlotFormer","PDF methods; evaluation overview","§3 and downstream tasks","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
